,Domain,Supergroup,Phylum,Worden_Taxonomy,Salmaso_Phyto,Salmaso_Taxonomy,Class,Order,Family,Genus,Species,ASV,Root,,Large_Scale,Worden_Phyto,Worden_Taxonomy2,All_Taxonomy,Diatoms_Curated,Diatoms_Curated_Top_10,Root_confidence,Domain_confidence,Supergroup_confidence,Phylum_confidence,Class_confidence,Order_confidence,Family_confidence,Genus_confidence,Species_confidence
129788f9b4b198d842bf91e9ed213840,Eukaryota,Alveolata,Apicomplexa,,,,Coccidiomorphea,Eimeriida,Eimeriidae,Goussia6,Goussia6_janae,129788f9b4b198d842bf91e9ed213840,Root,,Apicomplexa,,,Alveolata,,,89.4,89.4,89.4,89.4,89.4,89.4,87.9,87.9,87.9
0d0f8c6bb7c810e58c36225b455b06f6,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Gregarinomorphea_X,Gregarinomorphea_XX,Selenidium1,unclassified_Selenidium1,0d0f8c6bb7c810e58c36225b455b06f6,Root,,Apicomplexa,,,Alveolata,,,69.1,69.1,66.8,64.2,61.8,61.8,61.8,61.8,61.8
1111f1f015c6d6d7b4b5fe761de935a5,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,unclassified_Eugregarinorida,,,1111f1f015c6d6d7b4b5fe761de935a5,Root,,Apicomplexa,,,Alveolata,,,63.5,63.5,60,60,60,60,60,,
1c28815fbbc4cc7fd72453c15125e0cb,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Gregarinomorphea_X,Gregarinomorphea_XX,Selenidium1,Selenidium1_boccardiellae,1c28815fbbc4cc7fd72453c15125e0cb,Root,,Apicomplexa,,,Alveolata,,,79.3,79.3,78.2,76.7,76.7,76.7,76.7,76.7,76.7
1c533f005271181941e023a764ad0826,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,Eugregarinorida_EUG3,Eugregarinorida_EUG3_X,Eugregarinorida_EUG3_X_sp.,1c533f005271181941e023a764ad0826,Root,,Apicomplexa,,,Alveolata,,,78,78,78,78,78,78,68.1,68.1,68.1
2b3f51872751b4c7a1714d56013bb1ca,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,Eugregarinorida_EUG3,Eugregarinorida_EUG3_X,Eugregarinorida_EUG3_X_sp.,2b3f51872751b4c7a1714d56013bb1ca,Root,,Apicomplexa,,,Alveolata,,,77.8,77.8,77.8,77.8,77.8,77.8,62.4,62.4,62.4
2d3c04e3f1b2914a0e996616500f6b33,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Neogregarinorida,Actinocephalidae,Hoplorhynchus,Hoplorhynchus_acanthatholius,2d3c04e3f1b2914a0e996616500f6b33,Root,,Apicomplexa,,,Alveolata,,,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4,86.4
34747ecede06f5ffac33fa41266803e6,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,unclassified_Eugregarinorida,,,34747ecede06f5ffac33fa41266803e6,Root,,Apicomplexa,,,Alveolata,,,81.5,81.5,80.3,80.3,80.3,80.3,80.3,,
3a0cecbb4629966e2880b7efa4106561,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,unclassified_Eugregarinorida,,,3a0cecbb4629966e2880b7efa4106561,Root,,Apicomplexa,,,Alveolata,,,84,84,84,84,84,84,84,,
3fa82b22573b903739c2597eff1e258f,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,unclassified_Eugregarinorida,,,3fa82b22573b903739c2597eff1e258f,Root,,Apicomplexa,,,Alveolata,,,71.9,71.9,70,70,70,70,70,,
4086780513d4c168c5d15522f1c04860,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Gregarinomorphea_X,Gregarinomorphea_XX,Selenidium1,Selenidium1_sp.,4086780513d4c168c5d15522f1c04860,Root,,Apicomplexa,,,Alveolata,,,86.4,86.4,85.4,85.4,84.4,84.4,84.4,84.4,83.2
44f8a6a4849015b70d9f614f88069a42,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Neogregarinorida,Actinocephalidae,Monocystis,unclassified_Monocystis,44f8a6a4849015b70d9f614f88069a42,Root,,Apicomplexa,,,Alveolata,,,75.5,75.5,75.5,75.5,75.5,75.5,75.5,63.4,63.4
4f5ec96bb49d946f9fbba840f8526523,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,Porosporidae,Porosporidae_X,Porosporidae_X_sp.,4f5ec96bb49d946f9fbba840f8526523,Root,,Apicomplexa,,,Alveolata,,,78.3,78.3,76,76,76,76,71.2,68.8,68.8
53a3e7252b4af68d730f111bc5245cd7,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,unclassified_Eugregarinorida,,,53a3e7252b4af68d730f111bc5245cd7,Root,,Apicomplexa,,,Alveolata,,,66.4,66.4,62.5,61.4,61.4,61.4,61.4,,
5604f79472f02f2b22ca080cb8480127,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,unclassified_Eugregarinorida,,,5604f79472f02f2b22ca080cb8480127,Root,,Apicomplexa,,,Alveolata,,,86.3,86.3,86.3,86.3,86.3,86.3,86.3,,
6fcc78fcda35546087a7d1bd274d38be,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,unclassified_Eugregarinorida,,,6fcc78fcda35546087a7d1bd274d38be,Root,,Apicomplexa,,,Alveolata,,,71.7,71.7,70.2,70.2,70.2,70.2,70.2,,
718421d2445bb0b12cc7cf1131abfb88,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,unclassified_Eugregarinorida,,,718421d2445bb0b12cc7cf1131abfb88,Root,,Apicomplexa,,,Alveolata,,,70.4,70.4,68.7,68.7,68.7,68.7,68.7,,
782b3992a850824f6de3872b1b5b0d4e,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,unclassified_Eugregarinorida,,,782b3992a850824f6de3872b1b5b0d4e,Root,,Apicomplexa,,,Alveolata,,,63.5,61.8,60.7,60.7,60.7,60.7,60.7,,
7bb83201dcde4aacba571ebbd237b027,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,unclassified_Eugregarinorida,,,7bb83201dcde4aacba571ebbd237b027,Root,,Apicomplexa,,,Alveolata,,,73,73,73,73,73,73,73,,
7f16c3874e61a3b9ec6397cd1f05699e,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Gregarinomorphea_X,Gregarinomorphea_XX,Selenidium1,unclassified_Selenidium1,7f16c3874e61a3b9ec6397cd1f05699e,Root,,Apicomplexa,,,Alveolata,,,76.1,76.1,70.8,66.1,66.1,66.1,66.1,66.1,66.1
8328891bbfabb9fd1a6b93823410f59c,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,Eugregarinorida_EUG3,Eugregarinorida_EUG3_X,Eugregarinorida_EUG3_X_sp.,8328891bbfabb9fd1a6b93823410f59c,Root,,Apicomplexa,,,Alveolata,,,91.3,91.3,91.3,91.3,91.3,91.3,75.5,75.5,75.5
